dataset,dataset_label,player,player_key,signal,target,horizon,n,pearson_r,spearman_r,slope_pp_per_unit,hac_t,hac_p,bucket_n,bucket_top_n,bucket_bottom_n,bucket_top_avg,bucket_bottom_avg,bucket_top_minus_bottom,bucket_top_hit,bucket_bottom_hit,bucket_top_avg_drawdown,bucket_bottom_avg_drawdown,abs_spearman,top_minus_bottom_abs,evidence
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,net_z,S&P 500,1w,479,0.009356665041729273,-0.034675841405997505,0.011700606010772465,0.19780597220652724,0.8431968733547557,479,144,144,0.295724761718658,0.2033615731059485,0.09236318861270953,63.19444444444444,60.416666666666664,-0.8531609611266461,-1.6089106705651777,0.034675841405997505,0.09236318861270953,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,net_z,S&P 500,4w,476,-0.005555824636815276,-0.04556552313080148,-0.013509888982714718,-0.07780359328191556,0.9379842880905442,476,143,143,0.9160186518985369,1.2203724838985612,-0.3043538320000243,70.62937062937063,69.23076923076923,-2.3686049893290098,-3.2965100793050244,0.04556552313080148,0.3043538320000243,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,net_z,S&P 500,13w,467,-0.02556343810605731,-0.016855738331508247,-0.102078771085037,-0.23288123801440966,0.8158536278269245,467,140,140,2.2274198415440285,3.6386282633454003,-1.4112084218013718,72.85714285714285,70.0,-5.854402379191195,-5.544303641294444,0.016855738331508247,1.4112084218013718,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,net_z,S&P 500,26w,454,0.05842497658517984,0.07291962348122454,0.30137819997127485,0.41074821766586966,0.6812571667359881,454,136,136,7.2095090159668755,6.917796876485916,0.29171213948095964,81.61764705882352,71.32352941176471,-7.724091429805164,-7.112102744366179,0.07291962348122454,0.29171213948095964,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,net_z,NASDAQ-100,1w,479,0.018211319657013364,-0.020683454022938304,0.029756830000271833,0.41388932297168207,0.6789551636101873,479,144,144,0.4570356827400267,0.3534374637797254,0.1035982189603013,61.111111111111114,58.333333333333336,-1.1623002419621198,-1.9657102688525028,0.020683454022938304,0.1035982189603013,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,net_z,NASDAQ-100,4w,476,0.019245832812342656,-0.042968130648485814,0.059075511758666016,0.24887092528152222,0.8034606260825068,476,143,143,1.5188613911974878,1.851424685018681,-0.3325632938211933,68.53146853146853,67.13286713286713,-2.9753165094239216,-3.9328266071335993,0.042968130648485814,0.3325632938211933,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,net_z,NASDAQ-100,13w,467,-0.028267717892910733,-0.05908951984256871,-0.1507850501987477,-0.2471334399388574,0.8048049548764887,467,140,140,3.653701466429047,5.932154003552312,-2.278452537123265,68.57142857142857,70.0,-6.371203408213252,-6.614785879502353,0.05908951984256871,2.278452537123265,weak/mixed
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,net_z,NASDAQ-100,26w,454,0.02922399189658811,0.022354463810833967,0.20850675271829547,0.20244426519519573,0.8395694261066271,454,136,136,10.006548557154396,10.787794455008042,-0.7812458978536458,88.23529411764706,66.17647058823529,-8.680633820742518,-8.459784826541055,0.022354463810833967,0.7812458978536458,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,flow1_z,S&P 500,1w,478,0.022546134767651268,-0.0004279087480337156,0.032627420406057865,0.5041589922861239,0.6141496546903988,478,144,144,0.3354903541936215,0.20798447795568345,0.12750587623793805,59.72222222222222,59.72222222222222,-0.9572348235444126,-1.5087778713692876,0.0004279087480337156,0.12750587623793805,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,flow1_z,S&P 500,4w,475,0.050695673383237154,-0.0007897256170956059,0.14291767255690613,0.8823741041991258,0.3775745347259028,475,143,143,0.9372943523107641,1.1979932552321106,-0.26069890292134656,67.13286713286713,67.83216783216784,-2.59734810808909,-3.1454019149238905,0.0007897256170956059,0.26069890292134656,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,flow1_z,S&P 500,13w,466,0.017695171454427963,0.0026169673903344093,0.08230082049409208,0.40058739523667125,0.688723927373966,466,140,140,3.8580477139123106,3.943590090604471,-0.08554237669216036,79.28571428571428,72.14285714285714,-4.709244527691543,-5.516281513299091,0.0026169673903344093,0.08554237669216036,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,flow1_z,S&P 500,26w,453,-0.04468571157214338,-0.01660611968963941,-0.2756385818636843,-1.3876006829090233,0.165258673401538,453,136,136,6.962430285923987,7.335446926242698,-0.37301664031871073,76.47058823529412,75.73529411764706,-7.019337793950505,-7.626609675634902,0.01660611968963941,0.37301664031871073,weak/mixed
