dataset,dataset_label,player,player_key,source,source_label,source_kind,source_interpretation,target,horizon,n,positive_n,negative_n,positive_avg_return,negative_avg_return,side_edge_pp,positive_hit_rate,negative_hit_rate,positive_avg_drawdown,negative_avg_drawdown,hac_t,hac_p,better_side,abs_side_edge_pp,evidence
tff,TFF Detailed,Leveraged Funds,lev_money,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,NASDAQ-100,26w,505,108,397,11.75163309204997,9.77634424222691,1.975288849823059,90.74074074074075,80.35264483627203,-4.553830897266633,-8.287434693065165,1.1404264105695268,0.254108695015575,positive,1.975288849823059,weak/mixed
tff,TFF Detailed,Other Reportables,other_reportable,combined,Combined SP+NQ-VIX,combined,positive = equity risk-on net long; negative = equity risk-on net short,S&P 500,1w,530,115,415,0.26833778142937054,0.2686259442876646,-0.00028816285829408317,59.130434782608695,62.89156626506024,-1.1048450920161148,-1.053182692484751,-0.0013374971495677607,0.998932831992418,negative,0.00028816285829408317,none
tff,TFF Detailed,Other Reportables,other_reportable,sp500,S&P 500 only,single,positive = net long S&P 500; negative = net short S&P 500,S&P 500,1w,530,108,422,0.2212877889161854,0.28066239464647014,-0.059374605730284746,58.333333333333336,63.03317535545023,-1.1685442425415262,-1.0377374994515167,-0.27225964260594043,0.785422385000067,negative,0.059374605730284746,none
tff,TFF Detailed,Other Reportables,other_reportable,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,S&P 500,1w,530,163,367,0.3561099328471252,0.2296803615522534,0.1264295712948718,61.963190184049076,62.125340599455036,-0.8713622718261375,-1.1501252115949987,0.629161992451068,0.5292430087318447,positive,0.1264295712948718,none
tff,TFF Detailed,Other Reportables,other_reportable,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,S&P 500,1w,530,95,435,0.015797645531503177,0.32376513889256464,-0.30796749336106144,54.736842105263165,63.678160919540225,-1.0587100815149717,-1.0656334372852934,-1.4475795416699724,0.14773467615964916,negative,0.30796749336106144,weak/mixed
tff,TFF Detailed,Other Reportables,other_reportable,combined,Combined SP+NQ-VIX,combined,positive = equity risk-on net long; negative = equity risk-on net short,S&P 500,4w,527,114,413,1.2207312101755239,1.0332349789401114,0.18749623123541248,66.66666666666666,70.94430992736078,-2.567809638899664,-2.487408389468254,0.27961121587509213,0.7797758011900059,positive,0.18749623123541248,none
tff,TFF Detailed,Other Reportables,other_reportable,sp500,S&P 500 only,single,positive = net long S&P 500; negative = net short S&P 500,S&P 500,4w,527,107,420,1.1387714998334115,1.0572401280478587,0.08153137178555281,64.48598130841121,71.42857142857143,-2.6943366426909785,-2.4565141498024192,0.11672245923733983,0.9070799920310902,positive,0.08153137178555281,none
tff,TFF Detailed,Other Reportables,other_reportable,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,S&P 500,4w,527,162,365,1.216690150123015,1.0103715066913628,0.20631864343165218,70.98765432098766,69.58904109589041,-2.143037553250767,-2.6653640549543187,0.3743774656351696,0.7081235058202213,positive,0.20631864343165218,none
tff,TFF Detailed,Other Reportables,other_reportable,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,S&P 500,4w,527,95,432,1.2031938392137562,1.0453379387429835,0.1578559004707727,65.26315789473685,71.06481481481481,-2.2285691229834073,-2.5655460578739047,0.2874742568911522,0.7737492104607451,positive,0.1578559004707727,none
tff,TFF Detailed,Other Reportables,other_reportable,combined,Combined SP+NQ-VIX,combined,positive = equity risk-on net long; negative = equity risk-on net short,S&P 500,13w,518,105,413,4.311118753616396,3.214065697543638,1.0970530560727583,78.0952380952381,76.27118644067797,-5.118071805938208,-4.567034392046249,0.5992754054980938,0.5489892458765869,positive,1.0970530560727583,none
tff,TFF Detailed,Other Reportables,other_reportable,sp500,S&P 500 only,single,positive = net long S&P 500; negative = net short S&P 500,S&P 500,13w,518,98,420,4.2218786856021335,3.253172597681513,0.9687060879206206,78.57142857142857,76.19047619047619,-5.423311168440133,-4.504995831027333,0.5918883215191144,0.5539253746213031,positive,0.9687060879206206,none
tff,TFF Detailed,Other Reportables,other_reportable,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,S&P 500,13w,518,158,360,3.6752324184665586,3.3316385558264665,0.34359386264009206,78.48101265822784,75.83333333333333,-4.266108279333902,-4.859826765010712,0.24733047594823773,0.8046524748938435,positive,0.34359386264009206,none
tff,TFF Detailed,Other Reportables,other_reportable,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,S&P 500,13w,518,90,428,3.1977768480067374,3.4866277707818645,-0.28885092277512703,76.66666666666667,76.63551401869158,-4.3752608753114055,-4.742545011122865,-0.23431461490433458,0.8147407406567082,negative,0.28885092277512703,none
